review_id,target,prediction,rouge-1,rouge-2,rouge-L,bert_score
CD000088,,"This review confirms that PTFE is superior to the current first choice of bypass graft material in terms of short-term patency compared to the first choice for above-knee arterial bypass grafting. However, we found no statistically significant difference in secondary patency between PTFE and a range of medium- and long-term concern types. There was no evidence of a difference in the risk of major amputation, rest pain, pain-related ulceration or ipsilateral amputation when compared to one type 2 on bypass graft. The use of PTFE grafts was associated with a lower risk of peri-implantation amputation compared to a higher risk of postoperative complications, but there was no difference in all-cause mortality.",0.0,0.0,0.0,0.0
CD001707,,"This review provides some evidence that mirror therapy reduces pain and improves function in patients with CRPSt1 of the affected upper limb after stroke. However, the available data do not support the routine use of mirror therapy to prevent such recovery in the post-stroke period. There is a need for more randomised clinical trials with long-term follow up to evaluate the effects of this intervention.",0.0,0.0,0.0,0.0
CD000019,,"There is insufficient evidence from randomised controlled trials to determine which method of composite restoration is the most appropriate for the treatment of post-ceramic crowns treated premolars with fiber highly and the clinical success rate of the different types of the procedure. Large, well-designed and reported randomised clinical trials are needed.",0.0,0.0,0.0,0.0
CD009411,,"There is insufficient evidence to support routine administration of phenobarbital to reduce the incidence of intraventricular haemorrhage in preterm infants weighing 1500 g or less at birth. There is no clear evidence that routine phenobarbital has a beneficial effect on the incidence or severity of preterm birth.
[Note: The four citations in the awaiting classification section of the review may alter the conclusions drawn from the review once assessed.]",0.0,0.0,0.0,0.0
CD003092,,"The available literature does not support the use of sulpiride as an effective treatment for schizophrenia, but there is insufficient evidence to support its use in clinical practice. The review did not provide a good estimate of the effectiveness of this regimen for those with schizophrenia, especially in those with early onset schizophrenia or those with high levels of adverse events. There is a need for well designed, conducted and reported long-term randomised clinical trials that evaluate the efficacy and safety of sulpiride in this patient population.",0.0,0.0,0.0,0.0
CD007440,,"There is insufficient evidence to support the use of rTMS in the treatment of acute ischaemic stroke. There is some evidence that a single session of rTMS over the left hemisphere is associated with a significant improvement in the motor learning of the affected hand in patients after stroke; thus, it is not clear whether it has an effect on functional impairment.",0.0,0.0,0.0,0.0
CD004727,,"Nasogastric decompression significantly reduced the incidence of postoperative nausea and vomiting in patients undergoing abdominal surgery for trauma or NEC. However, the clinical significance of the correct tube used is still unclear. There is a need for more randomised clinical trials with long-term follow-up to determine the safety and effectiveness of correct tube decompression in the management of trauma and NEC.
[Note: The 15 citations in the awaiting classification section of the review may alter the conclusions of this review once assessed.]",0.0,0.0,0.0,0.0
CD007302,,"There is insufficient evidence to support the use of SMT as a treatment for chronic headaches. There is some evidence that SMT may be superior to placebo in the treatment of episodic tension headaches, but the quality of the evidence is very low. For patients with chronic headaches, SMT may have a positive effect on pain and may have an adverse effect on neck movement, but it is not clear which patients might benefit from SMT.
In general, SMT does not seem to offer a significant advantage in terms of pain relief or improvement of headache intensity when compared to the multimodal treatment. There was no evidence of a difference in pain relief between SMT and other commonly used treatments, but this was not statistically significant.
There is a need for further high quality randomised controlled trials with long-term",0.0,0.0,0.0,0.0
CD005533,,"There is no evidence of a significant difference in overall survival with chemotherapy in the treatment of women with recurrent or refractory cervical cancer. Non-oral chemotherapeutic drugs are associated with a higher response rate, a lower risk of death and a higher risk of progression-free survival when compared with chemotherapy alone. There is insufficient evidence to support the routine use of chemotherapy for women with advanced or recurrent cervical cancer to reduce the risk of neutropenia, nausea and vomiting, rash, and thrombocytopenia.
[Note: The 23 citations in the awaiting classification section of the review may alter the conclusions of this review once assessed.]",0.0,0.0,0.0,0.0
CD007468,,There is insufficient evidence to support the routine use of Vitamin A supplementation to infants and their babies to reduce the risk of developing maternal vitamin A deficiency. There is a need for further high quality randomised controlled trials with long-term follow up.,0.0,0.0,0.0,0.0
CD004621,,There is insufficient evidence to support the use of corticosteroids in the treatment of acute vestibular neuritis. There is a need for further high quality randomised controlled trials with long-term follow up to assess the effect of corticosteroids on patients' recovery.,0.0,0.0,0.0,0.0
CD003487,,"This review found no evidence to support the routine use of influenza vaccine as a treatment for ALL. However, there is insufficient evidence to conclude that the influenza vaccine is effective in reducing the risk of influenza infection in children with cancer.
[Note: The three citations in the awaiting classification section of the review may alter the conclusions of the original review once assessed.]",0.0,0.0,0.0,0.0
CD009046,,"There is insufficient evidence to support or refute the use of psychotherapy for women with depression in the short term. There is a need for well designed, conducted and reported randomised controlled trials that compare psychotherapy with standard care for this group of women. The findings of this review should be interpreted with caution due to the small number of women included in the studies and the lack of reporting of adverse effects in many of the included studies.",0.0,0.0,0.0,0.0
CD003076,,"There is insufficient evidence to support the use of low-dose heparin prophylaxis to reduce the incidence of deep venous thromboembolism in patients with hip fracture. There is a need for more high quality, adequately powered, well-designed randomised controlled trials investigating the efficacy of this intervention.
[Note: The 13 citations in the awaiting classification section of the review may alter the conclusions of the original review once assessed.]",0.0,0.0,0.0,0.0
CD001708,,"There is no evidence to support the routine use of any one solution for fluid resuscitation in the treatment of patients with severe injuries. There is a need for more high quality, adequately powered, well-designed randomised clinical trials with long-term follow up to assess mortality and morbidity outcomes. Such trials should be reported according to the CONSORT guidelines (www.consort-statement.org/).
[Note: The 23 citations in the awaiting classification section of the review may alter the conclusions of the original review once assessed.]",0.0,0.0,0.0,0.0
CD003822,,There is no evidence that antifungal therapy reduces the risk of IA in adults and children with a high risk of invasive aspergillosis. There is a need for further high quality randomised controlled trials with long-term follow up to assess the relative sensitivity and specificity of antifungal therapy.,0.0,0.0,0.0,0.0
CD007550,,"There is insufficient evidence to support the use of intermittent left nerve stimulation as an effective treatment for partial-onset seizure types. There is a need for more high quality, well-designed and reported randomised clinical trials with long-term follow up to determine which patients are most likely to benefit from this treatment.
[Note: The four citations in the awaiting classification section of the review may alter the conclusions of the original review once assessed.]",0.0,0.0,0.0,0.0
CD003388,,There is some evidence that psychological therapy for children and adolescents with PTSD leads to a significant reduction in PTSD diagnostic remission and depressive symptoms compared with no treatment. There is insufficient evidence to determine whether the differential responses are more effective than the waiting list or no treatment when compared with other forms of psychological therapy. The studies included in this review were of short duration and used a number of outcomes that were measured at six months and at one month follow up. The findings of this review support the use of a wide range of psychological approaches for the treatment of children with PTSD in the context of well-designed randomised controlled trials with long-term follow-up.,0.0,0.0,0.0,0.0
CD003265,,"There is no evidence to support the use of hepatic arterial chemoembolization in the treatment of unresectable hepatocellular carcinoma. There is some evidence that these modalities are associated with a higher tumor response and a lower survival rate than either symptomatic or non-surgical treatment, but it does not improve both the overall survival and the quality of life of patients.",0.0,0.0,0.0,0.0
CD003283,,"There is insufficient evidence from randomised controlled trials to support the use of tocolysis for preventing preterm birth in women with preterm uterine contractions to reduce the risk of pregnancy outcomes. Further well-designed, randomised clinical trials are required to determine whether intravenous tocolysis is superior to observation alone for preventing recurrent preterm uterine activity and to assess the effectiveness of tocolysis as an adjunctive therapy for preventing pregnancy outcomes in this group of women.
[Note: The four citations in the awaiting classification section of the review may alter the conclusions of generic review once assessed.]",0.0,0.0,0.0,0.0
CD007749,,"This review provides some evidence to support the use of calcium antagonists to prevent graft loss after kidney transplantation. However, there is no evidence that calcium antagonists are associated with a significant reduction in the risk of rejection or graft loss. There is a need for more high quality, well-designed and reported randomised clinical trials with long-term follow up to assess the effects of these drugs.",0.0,0.0,0.0,0.0
CD006225,,"There is insufficient evidence to support the use of oral cephalosporins for the treatment of severe pyelonephritis in children. There is some evidence that oral cephalosporins may be superior to parenteral treatment in reducing the number of resolution of vomiting, vomiting-related adverse events and the resolution of hydration state in children with severe pyelonephritis. No significant adverse effects were observed in children treated orally and 5% in non-users. There was no significant difference in the incidence of symptomatic reinfections between the oral and parenteral cephalosporins. There were no significant differences in clinical outcomes between the two groups in terms of time to defervescence, clinical signs and symptoms.",0.0,0.0,0.0,0.0
CD007196,,"There is insufficient evidence to support the use of amantadine as adjuvant to levodopa for motor complications in patients with early-stage PD. Large, multicentre, double-blind, placebo-controlled RCTs are needed to assess the effect of amantadine on motor complications and to determine the safety of this treatment.",0.0,0.0,0.0,0.0
CD008444,,"There is no evidence to support the routine use of oral corticosteroids in the treatment of multiple sclerosis. There is a lack of evidence that high dose oral corticosteroids are effective in treating patients with exacerbations that are at risk for attacks of MS, but the evidence is not strong enough to suggest a beneficial effect of this treatment.",0.0,0.0,0.0,0.0
